Declaration,Date reception,Frais engages,Adherent CIN,Adherent ville,Police,Code maladie
7562492.0,2023-08-02,6325.0,BE41GU,Tanger,2000GPT9898,003
7573220.0,2023-08-06,829.0,BE69VW,Agadir,2000GPT4587,001
7557498.0,2023-10-25,10013.0,BE70XZ,Fes,065487956,008
7576289.0,2023-05-17,8150.0,BE94BG,Casablanca,065487956,010
7572685.0,2023-09-15,2968.0,BE53VQ,Fes,2000GPT2564,003
7553171.0,2023-05-25,7071.0,BE83JT,Casablanca,065487956,003
7573249.0,2023-09-16,9313.0,BE56UN,Agadir,065487956,011
7567162.0,2023-06-01,2040.0,BE93KS,Casablanca,2000GPT2564,009
7569153.0,2023-07-12,2115.0,BE50YI,Tanger,2000GPT2564,008
7565848.0,2023-05-05,8066.0,BE21SF,Marrakech,065487956,003
7576735.0,2023-12-01,1425.0,BE26VN,Casablanca,2000GPT4587,004
7563039.0,2023-02-25,7918.0,BE72LS,Casablanca,065487956,013
7566533.0,2023-05-27,9576.0,BE20LB,Casablanca,065487956,004
7565029.0,2023-07-19,4734.0,BE77VQ,Tanger,2000GPT4118,002
7557936.0,2023-05-06,8847.0,BE23AC,Casablanca,065487956,003
7560127.0,2023-04-06,8586.0,BE97GE,Fes,065487956,008
7567420.0,2023-06-02,872.0,BE90NL,Rabat,2000GPT4587,011
7554967.0,2023-04-14,3920.0,BE86VD,Rabat,2000GPT4118,013
7561046.0,2023-08-15,1060.0,BE52JX,Casablanca,2000GPT4587,006
7548970.0,2023-04-29,7937.0,BE26OZ,Casablanca,065487956,003
7566835.0,2023-04-20,2956.0,BE41IZ,Fes,2000GPT2564,008
7575357.0,2023-06-26,2065.0,BE41DV,Casablanca,2000GPT2564,008
7560860.0,2023-07-04,1142.0,BE41OL,Agadir,2000GPT4587,005
7560589.0,2023-03-05,1764.0,BE78FM,Rabat,2000GPT2564,004
7575971.0,2023-05-01,9461.0,BE61DB,Casablanca,065487956,008
7553281.0,2023-12-01,4657.0,BE54SD,Casablanca,2000GPT4118,013
7551111.0,2023-07-19,9022.0,BE84GB,Rabat,065487956,012
7556675.0,2023-11-20,2445.0,BE85OO,Casablanca,2000GPT2564,009
7552164.0,2023-06-05,5095.0,BE45MX,Casablanca,2000GPT4118,012
7574115.0,2023-10-30,1991.0,BE81NP,Casablanca,2000GPT2564,011
7560419.0,2023-07-10,4769.0,BE90GX,Casablanca,2000GPT4118,012
7568555.0,2023-11-30,3541.0,BE34XK,Casablanca,2000GPT4118,012
7561753.0,2023-10-01,5318.0,BE32QC,Casablanca,2000GPT9898,004
7570295.0,2023-02-26,7686.0,BE45ZD,Fes,065487956,005
7566694.0,2023-05-25,7327.0,BE31FA,Casablanca,065487956,002
7557332.0,2023-10-06,1324.0,BE98FF,Casablanca,2000GPT4587,002
7549549.0,2023-07-03,3647.0,BE79QI,Rabat,2000GPT4118,003
7576583.0,2023-08-11,7825.0,BE90QA,Casablanca,065487956,005
7562890.0,2023-12-27,2610.0,BE87ZL,Casablanca,2000GPT2564,015
7573462.0,2023-09-21,1616.0,BE47RV,Casablanca,2000GPT2564,010
7570576.0,2023-10-11,2175.0,BE06KZ,Marrakech,2000GPT2564,006
7577110.0,2023-07-12,2948.0,BE95TC,Casablanca,2000GPT2564,005
7557854.0,2023-04-09,4163.0,BE73HM,Casablanca,2000GPT4118,005
7577468.0,2023-06-10,8109.0,BE06AX,Rabat,065487956,005
7555007.0,2023-07-31,1003.0,BE50TL,Casablanca,2000GPT4587,007
7558971.0,2023-05-29,7520.0,BE97IV,Casablanca,065487956,007
7573950.0,2023-09-15,1547.0,BE68TQ,Tanger,2000GPT4587,007
7551355.0,2023-12-28,2744.0,BE86OM,Rabat,2000GPT2564,009
7557609.0,2023-02-27,7668.0,BE57AP,Casablanca,065487956,003
7565667.0,2023-09-19,6498.0,BE97AM,Marrakech,2000GPT9898,008
7552009.0,2023-02-06,1220.0,BE21WT,Marrakech,2000GPT4587,008
7564966.0,2023-05-01,7031.0,BE01AP,Casablanca,2000GPT9898,005
7574802.0,2023-04-01,752.0,BE85XZ,Casablanca,2000GPT4587,008
7553408.0,2023-02-24,3181.0,BE49JT,Tanger,2000GPT4118,012
7559641.0,2023-05-06,6314.0,BE73DG,Rabat,2000GPT9898,004
7565710.0,2023-06-06,2450.0,BE58OJ,Casablanca,2000GPT2564,007
7550592.0,2023-09-03,1429.0,BE88XD,Casablanca,2000GPT4587,011
7562167.0,2023-12-12,7873.0,BE63IA,Fes,065487956,009
7570868.0,2023-11-15,7331.0,BE34EM,Casablanca,065487956,012
7557305.0,2023-07-28,5373.0,BE13NW,Casablanca,2000GPT9898,012
7549212.0,2023-08-06,1254.0,BE43TU,Fes,2000GPT4587,007
7552705.0,2023-12-06,5530.0,BE65YD,Casablanca,2000GPT9898,012
7574452.0,2023-01-05,1756.0,BE52DN,Tanger,2000GPT2564,005
7551415.0,2023-04-24,5316.0,BE68CU,Marrakech,2000GPT9898,007
7560628.0,2023-02-26,4225.0,BE30WG,Khouribga,2000GPT4118,003
7565819.0,2023-12-16,6788.0,BE68RW,Tanger,2000GPT9898,010
7558496.0,2023-06-30,5159.0,BE82UB,Casablanca,2000GPT9898,002
7554596.0,2023-09-11,4352.0,BE67EN,Casablanca,2000GPT4118,015
7561856.0,2023-07-23,3633.0,BE12BS,Casablanca,2000GPT4118,008
7563950.0,2023-04-25,7849.0,BE28HC,Agadir,065487956,005
7561525.0,2023-10-05,574.0,BE19DH,Casablanca,2000GPT4587,005
7568913.0,2023-08-20,4638.0,BE44OQ,Casablanca,2000GPT4118,008
7576472.0,2023-05-19,5128.0,BE14FP,Casablanca,2000GPT9898,012
7576309.0,2023-07-30,721.0,BE08HA,Casablanca,2000GPT4587,013
7561312.0,2023-07-22,3248.0,BE64ND,Tanger,2000GPT4118,003
7552827.0,2023-11-28,5362.0,BE82TK,Casablanca,2000GPT9898,003
7574583.0,2023-01-05,9705.0,BE33LT,Casablanca,065487956,008
7560528.0,2023-10-19,1350.0,BE71GG,Tanger,2000GPT4587,011
7576971.0,2023-02-10,1998.0,BE68CD,Marrakech,2000GPT2564,005
7550726.0,2023-05-20,1185.0,BE73XS,Casablanca,2000GPT4587,003
7566339.0,2023-11-17,1333.0,BE23FH,Casablanca,2000GPT4587,007
7570004.0,2023-05-25,9581.0,BE64JT,Casablanca,065487956,008
7551930.0,2023-06-30,4039.0,BE99KH,Rabat,2000GPT4118,002
7558105.0,2023-07-02,1174.0,BE73DQ,Casablanca,2000GPT4587,004
7564711.0,2023-12-17,4050.0,BE99EO,Casablanca,2000GPT4118,005
7552735.0,2023-08-12,6720.0,BE43KP,Agadir,2000GPT9898,008
7553681.0,2023-07-15,647.0,BE77AK,Marrakech,2000GPT4587,008
7571522.0,2023-02-02,8086.0,BE05CS,Fes,065487956,011
7578625.0,2023-06-27,4342.0,BE86AV,Casablanca,2000GPT4118,005
7556943.0,2023-09-15,10032.0,BE08YL,Marrakech,065487956,007
7550324.0,2023-03-14,837.0,BE40XH,Casablanca,2000GPT4587,004
7556468.0,2023-03-19,977.0,BE36KD,Casablanca,2000GPT4587,012
7560322.0,2023-12-30,566.0,BE85DL,Marrakech,2000GPT4587,005
7557269.0,2023-12-31,3762.0,BE27FB,Fes,2000GPT4118,008
7558096.0,2023-10-17,1128.0,BE47MT,Tanger,2000GPT4587,008
7574434.0,2023-12-26,7755.0,BE95RC,Casablanca,065487956,008
7549753.0,2023-12-28,1526.0,BE66YP,Casablanca,2000GPT4587,012
7560032.0,2023-11-30,2129.0,BE96YU,Casablanca,2000GPT2564,008
7570907.0,2023-01-20,8702.0,BE99OH,Casablanca,065487956,010
7551122.0,2023-12-28,5240.0,BE37OG,Casablanca,2000GPT9898,009
7567737.0,2023-09-07,3326.0,BE42QQ,Casablanca,2000GPT4118,004
7565899.0,2023-10-17,8331.0,BE51VH,Rabat,065487956,012
7570432.0,2023-12-29,5340.0,BE25WL,Fes,2000GPT9898,015
7572457.0,2023-06-27,3811.0,BE75BS,Rabat,2000GPT4118,015
7576137.0,2023-05-17,4673.0,BE79LS,Rabat,2000GPT4118,009
7568176.0,2023-06-14,8328.0,BE41PR,Agadir,065487956,012
7572243.0,2023-02-18,3719.0,BE61WA,Casablanca,2000GPT4118,014
7550392.0,2023-06-06,7592.0,BE64BI,Fes,065487956,012
7572665.0,2023-02-26,5961.0,BE92WA,Agadir,2000GPT9898,012
7563661.0,2023-07-09,6860.0,BE62EE,Casablanca,2000GPT9898,001
7556594.0,2023-06-30,678.0,BE19HN,Rabat,2000GPT4587,003
7550118.0,2023-08-04,2712.0,BE87BX,Casablanca,2000GPT2564,008
7563247.0,2023-08-09,4904.0,BE53IA,Tanger,2000GPT4118,005
7566856.0,2023-06-19,5501.0,BE49NT,Casablanca,2000GPT9898,009
7556876.0,2023-11-16,9996.0,BE90PM,Marrakech,065487956,014
7558688.0,2023-08-17,4543.0,BE45BR,Rabat,2000GPT4118,011
7569831.0,2023-10-08,1657.0,BE38UI,Casablanca,2000GPT2564,003
7557785.0,2023-10-27,9142.0,BE52PI,Marrakech,065487956,003
7553430.0,2023-02-22,8790.0,BE17GF,Casablanca,065487956,011
7577369.0,2023-07-28,8849.0,BE76LW,Casablanca,065487956,009
7567571.0,2023-03-08,9158.0,BE90JS,Casablanca,065487956,012
7570730.0,2023-03-12,3327.0,BE78XX,Casablanca,2000GPT4118,003
7555412.0,2023-05-24,1290.0,BE45ZT,Casablanca,2000GPT4587,009
7576059.0,2023-11-26,2758.0,BE03LN,Casablanca,2000GPT2564,009
7561022.0,2023-05-19,4081.0,BE11OX,Agadir,2000GPT4118,012
7565397.0,2023-12-29,2804.0,BE06ML,Rabat,2000GPT2564,012
7556004.0,2023-03-08,1564.0,BE50PF,Khouribga,2000GPT4587,015
7555881.0,2023-12-30,1216.0,BE93IK,Tanger,2000GPT4587,002
7562318.0,2023-12-19,8988.0,BE93PQ,Casablanca,065487956,003
7554881.0,2023-02-16,1150.0,BE77EG,Khouribga,2000GPT4587,007
7569443.0,2023-02-20,4112.0,BE96VZ,Casablanca,2000GPT4118,008
7555418.0,2023-08-27,9078.0,BE71MG,Casablanca,065487956,013
7570570.0,2023-11-09,9993.0,BE95XJ,Casablanca,065487956,003
7553551.0,2023-11-05,919.0,BE09CJ,Rabat,2000GPT4587,008
7578560.0,2023-08-15,8504.0,BE47KD,Casablanca,065487956,010
7559634.0,2023-02-09,7129.0,BE14AO,Casablanca,065487956,012
7565089.0,2023-05-23,1254.0,BE19QH,Agadir,2000GPT4587,013
7559404.0,2023-11-19,7604.0,BE84NB,Casablanca,065487956,006
7575235.0,2023-05-19,3847.0,BE80MG,Fes,2000GPT4118,013
7573536.0,2023-11-01,2418.0,BE71GJ,Rabat,2000GPT2564,013
7554610.0,2023-02-02,9464.0,BE39EN,Casablanca,065487956,007
7571576.0,2023-07-22,3842.0,BE90UH,Marrakech,2000GPT4118,007
7567813.0,2023-10-09,8343.0,BE65RF,Marrakech,065487956,012
7549658.0,2023-05-19,7430.0,BE74ES,Tanger,065487956,006
7569839.0,2023-12-13,4917.0,BE21FC,Casablanca,2000GPT4118,012
7558543.0,2023-11-13,4517.0,BE63US,Casablanca,2000GPT4118,009
7554565.0,2023-12-28,678.0,BE48GL,Marrakech,2000GPT4587,011
7559947.0,2023-05-08,3611.0,BE99BC,Casablanca,2000GPT4118,008
7575217.0,2023-06-06,8021.0,BE02AZ,Rabat,065487956,009
7566109.0,2023-04-04,2814.0,BE88TA,Tanger,2000GPT2564,012
7569580.0,2023-11-18,3570.0,BE86IX,Casablanca,2000GPT4118,005
7568417.0,2023-02-08,1222.0,BE45SY,Casablanca,2000GPT4587,012
7576605.0,2023-10-31,8572.0,BE19MF,Casablanca,065487956,006
7559523.0,2023-11-09,8885.0,BE69RX,Casablanca,065487956,008
7558677.0,2023-12-04,3891.0,BE15TF,Agadir,2000GPT4118,002
7567045.0,2023-12-03,8978.0,BE13FN,Casablanca,065487956,010
7575391.0,2023-03-25,8276.0,BE68YT,Rabat,065487956,001
7577826.0,2023-12-28,4785.0,BE74MB,Fes,2000GPT4118,005
7568918.0,2023-11-11,7241.0,BE92BS,Casablanca,065487956,012
7577572.0,2023-07-19,625.0,BE99FS,Tanger,2000GPT4587,012
7559561.0,2023-12-02,1533.0,BE82SG,Casablanca,2000GPT4587,009
7558631.0,2023-10-19,1526.0,BE41FU,Rabat,2000GPT2564,002
7558265.0,2023-09-22,1281.0,BE67UW,Marrakech,2000GPT4587,007
7554701.0,2023-10-04,8506.0,BE15IH,Khouribga,065487956,001
7553902.0,2023-05-18,9586.0,BE44JS,Casablanca,065487956,015
7552824.0,2023-03-01,2748.0,BE10NH,Casablanca,2000GPT2564,008
7577756.0,2023-05-03,3327.0,BE52HE,Rabat,2000GPT4118,013
7573432.0,2023-12-19,4153.0,BE57RG,Fes,2000GPT4118,010
7569978.0,2023-12-24,5422.0,BE88OJ,Tanger,2000GPT9898,008
7560511.0,2023-09-14,650.0,BE58SR,Marrakech,2000GPT4587,010
7555108.0,2023-12-24,9476.0,BE97WT,Casablanca,065487956,002
7563578.0,2023-03-08,3841.0,BE11IY,Tanger,2000GPT4118,004
7563570.0,2023-06-05,3632.0,BE62OF,Casablanca,2000GPT4118,006
7556438.0,2023-09-14,4975.0,BE84IM,Casablanca,2000GPT4118,008
7570027.0,2023-01-09,4729.0,BE42UG,Rabat,2000GPT4118,004
7555569.0,2023-03-01,1164.0,BE13YB,Casablanca,2000GPT4587,008
7563224.0,2023-06-26,8668.0,BE46ZC,Fes,065487956,007
7559502.0,2023-06-10,8554.0,BE58XQ,Casablanca,065487956,014
7561441.0,2023-07-16,8003.0,BE18LO,Agadir,065487956,005
7549980.0,2023-06-21,3174.0,BE74TK,Casablanca,2000GPT4118,014
7576245.0,2023-07-16,3584.0,BE29WV,Casablanca,2000GPT4118,001
7574888.0,2023-08-19,3815.0,BE48CZ,Casablanca,2000GPT4118,003
7549404.0,2023-12-29,1022.0,BE65YR,Agadir,2000GPT4587,009
7552646.0,2023-11-04,1495.0,BE26DD,Marrakech,2000GPT4587,005
7578220.0,2023-04-05,552.0,BE80KH,Casablanca,2000GPT4587,002
7556593.0,2023-01-16,10131.0,BE99KC,Casablanca,065487956,015
7555441.0,2023-09-10,5979.0,BE80BV,Marrakech,2000GPT9898,003
7575192.0,2023-08-03,4665.0,BE01WD,Rabat,2000GPT4118,004
7570286.0,2023-04-08,4417.0,BE16QY,Casablanca,2000GPT4118,010
7577321.0,2023-06-18,6996.0,BE95SH,Casablanca,2000GPT9898,001
7572211.0,2023-04-25,1026.0,BE54LB,Marrakech,2000GPT4587,008
7558324.0,2023-04-05,8221.0,BE81TZ,Khouribga,065487956,007
7560762.0,2023-06-21,7215.0,BE95BE,Casablanca,065487956,007
7557240.0,2023-06-24,7896.0,BE07PG,Fes,065487956,003
7577105.0,2023-02-16,1133.0,BE36DG,Agadir,2000GPT4587,014
7571834.0,2023-04-15,7717.0,BE08WM,Marrakech,065487956,011
7560859.0,2023-10-15,1153.0,BE69KE,Casablanca,2000GPT4587,008
7561158.0,2023-09-12,2304.0,BE84IS,Casablanca,2000GPT2564,012
7563939.0,2023-08-09,5928.0,BE67WM,Casablanca,2000GPT9898,008
7568808.0,2023-06-23,4381.0,BE61OU,Casablanca,2000GPT4118,004
7549939.0,2023-08-04,2268.0,BE41HR,Fes,2000GPT2564,003
7550644.0,2023-02-24,2329.0,BE74EG,Agadir,2000GPT2564,007
7554054.0,2023-09-03,3635.0,BE39CO,Agadir,2000GPT4118,008
7566055.0,2023-10-31,9266.0,BE12CQ,Casablanca,065487956,009
7559582.0,2023-12-13,9651.0,BE76DI,Casablanca,065487956,008
7561870.0,2023-03-09,1863.0,BE40CV,Fes,2000GPT2564,004
7574203.0,2023-03-26,1075.0,BE44KG,Agadir,2000GPT4587,011
7549664.0,2023-04-15,7914.0,BE01CZ,Fes,065487956,013
7566100.0,2023-12-30,2204.0,BE88TK,Casablanca,2000GPT2564,003
7564555.0,2023-02-15,2251.0,BE78CX,Khouribga,2000GPT2564,001
7565615.0,2023-10-16,1324.0,BE21GQ,Rabat,2000GPT4587,003
7561040.0,2023-02-23,4039.0,BE14TQ,Rabat,2000GPT4118,008
7556334.0,2023-11-23,1377.0,BE88BX,Tanger,2000GPT4587,012
7577347.0,2023-01-28,9680.0,BE84NX,Marrakech,065487956,014
7569624.0,2023-11-05,2297.0,BE49ZU,Rabat,2000GPT2564,001
7564745.0,2023-11-21,9302.0,BE42IE,Agadir,065487956,005
7573068.0,2023-06-22,6625.0,BE86AN,Casablanca,2000GPT9898,006
7552319.0,2023-12-15,9929.0,BE66YN,Casablanca,065487956,009
7567792.0,2023-03-04,1489.0,BE79HY,Casablanca,2000GPT4587,008
7567084.0,2023-05-09,7034.0,BE47LV,Fes,065487956,001
7555720.0,2023-12-20,4960.0,BE79KN,Casablanca,2000GPT4118,004
7555726.0,2023-12-29,1201.0,BE59HS,Marrakech,2000GPT4587,010
7576767.0,2023-12-28,2784.0,BE78CC,Casablanca,2000GPT2564,013
7574570.0,2023-06-11,2883.0,BE69SZ,Agadir,2000GPT2564,009
7568879.0,2023-05-11,8734.0,BE97RB,Tanger,065487956,005
7555543.0,2023-05-25,771.0,BE74ME,Rabat,2000GPT4587,003
7551487.0,2023-07-18,828.0,BE54XV,Casablanca,2000GPT4587,014
7577549.0,2023-01-12,8267.0,BE25XV,Casablanca,065487956,010
7567403.0,2023-04-19,4601.0,BE52EY,Casablanca,2000GPT4118,003
7555513.0,2023-01-19,4340.0,BE87AZ,Agadir,2000GPT4118,013
7550189.0,2023-01-19,9709.0,BE27VF,Casablanca,065487956,013
7549659.0,2023-10-11,748.0,BE53ES,Casablanca,2000GPT4587,003
7562267.0,2023-01-26,3254.0,BE12AL,Casablanca,2000GPT4118,008
7569605.0,2023-10-27,3342.0,BE50KW,Fes,2000GPT4118,011
7576961.0,2023-06-21,8390.0,BE01KB,Rabat,065487956,013
7565237.0,2023-05-12,2965.0,BE55DM,Khouribga,2000GPT2564,003
7578496.0,2023-09-17,9176.0,BE65XN,Fes,065487956,014
7573137.0,2023-12-06,3044.0,BE88GX,Rabat,2000GPT4118,001
7574269.0,2023-02-28,857.0,BE13NG,Casablanca,2000GPT4587,010
7576876.0,2023-02-18,3396.0,BE37CS,Tanger,2000GPT4118,015
7554400.0,2023-01-11,617.0,BE21QM,Fes,2000GPT4587,003
7552572.0,2023-10-15,5835.0,BE98JC,Casablanca,2000GPT9898,012
7552081.0,2023-09-06,2773.0,BE36NR,Casablanca,2000GPT2564,011
7563908.0,2023-11-29,3598.0,BE39IO,Rabat,2000GPT4118,008
7560873.0,2023-04-01,9625.0,BE76KR,Rabat,065487956,003
7552971.0,2023-06-30,1458.0,BE51AE,Tanger,2000GPT4587,008
7577315.0,2023-10-18,7424.0,BE24LP,Casablanca,065487956,005
7573418.0,2023-10-06,4999.0,BE46XH,Fes,2000GPT4118,002
7578580.0,2023-11-08,4090.0,BE93OS,Casablanca,2000GPT4118,011
7553224.0,2023-01-29,1091.0,BE32TN,Rabat,2000GPT4587,004
7576383.0,2023-12-08,3131.0,BE25WH,Fes,2000GPT4118,008
7573297.0,2023-06-21,665.0,BE47NL,Casablanca,2000GPT4587,002
7549372.0,2023-08-26,9051.0,BE20XC,Rabat,065487956,010
7575282.0,2023-05-23,2629.0,BE47EH,Casablanca,2000GPT2564,007
7549142.0,2023-08-25,834.0,BE86SE,Rabat,2000GPT4587,004
7575559.0,2023-10-12,2149.0,BE76HY,Fes,2000GPT2564,008
7568533.0,2023-11-12,7473.0,BE39OY,Tanger,065487956,008
7560993.0,2023-10-23,7239.0,BE04MG,Rabat,065487956,013
7551089.0,2023-12-14,7380.0,BE42NW,Casablanca,065487956,012
7561867.0,2023-10-22,4955.0,BE40OL,Casablanca,2000GPT4118,010
7576471.0,2023-07-05,7393.0,BE93UM,Agadir,065487956,015
7577921.0,2023-12-01,4790.0,BE27GB,Rabat,2000GPT4118,001
7568757.0,2023-08-24,8557.0,BE81IG,Casablanca,065487956,008
7549402.0,2023-12-21,8179.0,BE61TT,Casablanca,065487956,005
7573232.0,2023-12-18,3513.0,BE63VT,Rabat,2000GPT4118,006
7573719.0,2023-02-14,8946.0,BE49ZQ,Rabat,065487956,001
7553035.0,2023-09-09,566.0,BE97YQ,Casablanca,2000GPT4587,003
7563615.0,2023-11-24,6472.0,BE60ZL,Casablanca,2000GPT9898,013
7578384.0,2023-12-11,1375.0,BE67ZQ,Tanger,2000GPT4587,014
7562145.0,2023-12-20,7679.0,BE04PG,Marrakech,065487956,002
7553328.0,2023-05-05,7754.0,BE80OP,Rabat,065487956,008
7573221.0,2023-11-08,7384.0,BE72ZH,Casablanca,065487956,015
7575061.0,2023-11-14,9342.0,BE16VS,Rabat,065487956,008
7565047.0,2023-12-29,8346.0,BE64CP,Casablanca,065487956,008
7574325.0,2023-08-15,2698.0,BE11PJ,Tanger,2000GPT2564,004
7554847.0,2023-07-25,8271.0,BE26KN,Rabat,065487956,015
7569011.0,2023-12-09,7431.0,BE08PO,Fes,065487956,001
7566148.0,2023-08-25,7671.0,BE73IW,Casablanca,065487956,003
7564846.0,2023-03-07,1371.0,BE76JB,Casablanca,2000GPT4587,013
7578028.0,2023-06-15,6554.0,BE89YX,Fes,2000GPT9898,003
7559997.0,2023-12-10,4592.0,BE14AX,Rabat,2000GPT4118,002
7576106.0,2023-07-04,9905.0,BE85JO,Agadir,065487956,010
7565885.0,2023-11-05,10077.0,BE33OZ,Casablanca,065487956,014
7577619.0,2023-12-04,1212.0,BE20JE,Casablanca,2000GPT4587,008
7550187.0,2023-12-04,2700.0,BE24SH,Casablanca,2000GPT2564,004
7571628.0,2023-03-14,4355.0,BE54JG,Casablanca,2000GPT4118,004
7569286.0,2023-10-15,758.0,BE04SX,Casablanca,2000GPT4587,013
7557886.0,2023-10-24,892.0,BE54VT,Fes,2000GPT4587,015
7577836.0,2023-09-15,9466.0,BE59HM,Casablanca,065487956,009
7556753.0,2023-08-22,8337.0,BE67SN,Rabat,065487956,004
7573538.0,2023-12-17,2379.0,BE43MU,Casablanca,2000GPT2564,009
7568944.0,2023-08-28,957.0,BE03UK,Marrakech,2000GPT4587,003
7552019.0,2023-04-10,4415.0,BE82ZC,Casablanca,2000GPT4118,012
7563352.0,2023-05-25,1744.0,BE97NZ,Casablanca,2000GPT2564,011
7563185.0,2023-10-08,1969.0,BE47QZ,Casablanca,2000GPT2564,009
7566466.0,2023-01-07,6420.0,BE32VP,Casablanca,2000GPT9898,001
7550946.0,2023-07-18,3072.0,BE49QA,Casablanca,2000GPT4118,003
7555828.0,2023-09-24,1476.0,BE48QI,Casablanca,2000GPT4587,012
7565827.0,2023-09-23,7714.0,BE31RH,Casablanca,065487956,010
7553787.0,2023-09-22,1403.0,BE94HN,Casablanca,2000GPT4587,004
7562878.0,2023-05-24,1560.0,BE35UR,Marrakech,2000GPT4587,013
7569328.0,2023-10-05,8126.0,BE45GV,Casablanca,065487956,011
7566303.0,2023-10-06,993.0,BE18VB,Fes,2000GPT4587,009
7569183.0,2023-07-06,2954.0,BE47BB,Casablanca,2000GPT2564,003
7561947.0,2023-10-22,2745.0,BE64XN,Casablanca,2000GPT2564,011
7551901.0,2023-04-26,5813.0,BE97ZK,Casablanca,2000GPT9898,012
7574825.0,2023-11-11,5885.0,BE00BH,Tanger,2000GPT9898,004
7576444.0,2023-12-17,10003.0,BE73IW,Casablanca,065487956,008
7575230.0,2023-05-12,2248.0,BE78WW,Rabat,2000GPT2564,005
7571305.0,2023-10-06,2284.0,BE41ZN,Tanger,2000GPT2564,002
7569797.0,2023-06-20,599.0,BE07AE,Marrakech,2000GPT4587,001
7564959.0,2023-08-04,4304.0,BE36IN,Rabat,2000GPT4118,012
7548830.0,2023-12-26,7904.0,BE28DM,Casablanca,065487956,004
7570692.0,2023-12-06,8692.0,BE60BS,Casablanca,065487956,002
7576929.0,2023-12-16,1885.0,BE88IY,Rabat,2000GPT2564,006
7564615.0,2023-05-08,9061.0,BE14CS,Casablanca,065487956,008
7561822.0,2023-07-22,9519.0,BE57IF,Marrakech,065487956,012
7556412.0,2023-03-08,827.0,BE69BL,Tanger,2000GPT4587,012
7576287.0,2023-06-08,3138.0,BE95IZ,Rabat,2000GPT4118,009
7576073.0,2023-09-21,6621.0,BE12QF,Rabat,2000GPT9898,002
7559842.0,2023-05-05,8256.0,BE33LB,Rabat,065487956,013
7576891.0,2023-05-09,4552.0,BE88OC,Casablanca,2000GPT4118,003
